City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,victor harbor,-35.5667,138.6167,55.69,74,100,8.52,AU,1712438008
82,angoche,-16.2325,39.9086,80.4,81,49,6.33,MZ,1712438008
83,tuktoyaktuk,69.4541,-133.0374,15.51,88,80,4.07,CA,1712438009
84,shingu,33.7333,135.9833,57.85,88,100,3.69,JP,1712438009
85,porto novo,6.4965,2.6036,83.12,80,36,7.72,BJ,1712438010
86,balakovo,52.0278,47.8007,44.98,87,100,5.84,RU,1712438010
87,cabo san lucas,22.8909,-109.9124,82.62,53,75,8.05,MX,1712438010
88,nikolskoye,59.7035,30.7861,37.94,98,100,3.76,RU,1712438011
89,mirador,-6.3708,-44.3631,77.05,94,68,1.72,BR,1712438011
90,buchanan,5.8808,-10.0467,81.0,87,100,6.29,LR,1712438011
91,butaritari,3.0707,172.7902,82.22,83,99,21.34,KI,1712438012
92,tromso,69.6496,18.957,26.62,59,75,14.97,NO,1712438012
93,victoria,22.2855,114.1577,78.85,90,100,7.0,HK,1712437856
94,barcelos,41.5388,-8.6151,59.14,95,100,3.76,PT,1712438013
95,waingapu,-9.6567,120.2641,78.62,86,100,4.59,ID,1712438013
96,issia,6.4922,-6.5856,80.96,75,100,4.29,CI,1712438014
97,siauliai,55.9333,23.3167,44.62,100,100,4.61,LT,1712437852
98,arlit,18.7369,7.3853,88.07,7,2,12.57,NE,1712438015
99,jamestown,42.097,-79.2353,51.39,53,40,16.11,US,1712437929
100,buraydah,26.326,43.975,70.25,51,93,8.97,SA,1712438015
101,jasper,37.2001,-94.3502,77.14,20,100,25.32,US,1712438016
102,faanui,-16.4833,-151.75,84.63,75,79,9.78,PF,1712438016
103,olinda,-8.0089,-34.8553,85.73,74,20,12.66,BR,1712437785
104,dingle,10.9995,122.6711,76.39,88,91,9.1,PH,1712438017
105,souillac,-20.5167,57.5167,79.34,89,0,6.04,MU,1712437853
106,san pedro,14.35,121.0167,81.19,84,34,11.01,PH,1712438018
107,zemio,5.0314,25.1361,71.17,92,94,3.11,CF,1712438018
108,henties bay,-22.116,14.2845,59.97,86,0,14.32,NA,1712438019
109,coihaique,-45.5752,-72.0662,55.35,47,40,5.75,CL,1712438019
110,baykit,61.67,96.37,31.91,99,100,5.01,RU,1712438020
111,little current,45.9793,-81.9248,42.98,61,5,10.49,CA,1712437764
112,esperance,-33.8667,121.9,60.48,67,67,5.23,AU,1712437874
113,sambava,-14.2667,50.1667,78.21,90,83,9.28,MG,1712438021
114,jiaojiang,28.6803,121.4428,55.06,94,98,0.63,CN,1712438022
115,mikun,62.3547,50.0771,23.56,79,100,11.05,RU,1712438022
116,yerbogachen,61.2767,108.0108,-6.65,100,98,4.23,RU,1712438022
117,acarau,-2.8856,-40.12,80.49,82,85,6.42,BR,1712438023
118,san francisco,37.7749,-122.4194,62.98,54,40,13.8,US,1712437599
119,carnarvon,-24.8667,113.6333,73.62,67,0,13.49,AU,1712438023
120,ilulissat,69.2167,-51.1,24.82,54,75,0.0,GL,1712438024
121,koygorodok,60.445,50.9968,23.5,79,44,6.49,RU,1712438025
122,hamilton,39.1834,-84.5333,59.77,43,20,5.99,US,1712437764
123,key west,24.5557,-81.7826,80.6,57,20,12.66,US,1712437926
124,maroantsetra,-15.4333,49.7333,77.94,89,66,3.83,MG,1712438026
125,ulaanbaatar,47.9077,106.8832,33.93,80,75,2.24,MN,1712438026
126,ponta do sol,32.6667,-17.1,63.72,66,24,8.23,PT,1712438026
127,talnakh,69.4865,88.3972,0.21,93,100,12.03,RU,1712438027
128,fasa,28.9383,53.6482,63.64,37,1,0.38,IR,1712437872
129,kemptville,45.0168,-75.641,50.34,76,100,7.0,CA,1712437748
130,atuona,-9.8,-139.0333,82.99,74,14,14.79,PF,1712438029
131,zhangzhou,24.5133,117.6556,64.11,97,100,3.76,CN,1712438029
132,tuatapere,-46.1333,167.6833,50.14,94,100,2.33,NZ,1712437815
133,rusape,-18.5278,32.1284,61.18,95,15,3.33,ZW,1712438030
134,bandarbeyla,9.4942,50.8122,81.7,70,91,8.21,SO,1712438030
135,maragogi,-9.0122,-35.2225,80.85,79,8,6.73,BR,1712438031
136,isangel,-19.55,169.2667,78.91,83,20,0.0,VU,1712438031
137,ribeira grande,38.5167,-28.7,59.77,94,75,27.0,PT,1712438032
138,amapa,1.0,-52.0,77.41,91,80,3.13,BR,1712438033
139,meulaboh,4.1363,96.1285,80.2,86,76,5.7,ID,1712438033
140,bata,1.8639,9.7658,78.98,89,84,8.46,GQ,1712438034
141,lebu,-37.6167,-73.65,61.61,70,5,6.62,CL,1712438034
142,batticaloa,7.7102,81.6924,78.67,88,100,4.85,LK,1712437870
143,antalaha,-14.9003,50.2788,76.62,89,100,6.44,MG,1712438035
144,amparafaravola,-17.5833,48.2167,67.8,96,74,1.77,MG,1712438035
145,weihe,32.9952,105.3247,44.42,83,99,2.89,CN,1712438035
